,rated,turns,white_rating,black_rating,opening_moves,winner
0,0,13,1500,1191,5,0
1,1,16,1322,1261,4,1
2,1,61,1496,1500,3,0
3,1,61,1439,1454,3,0
4,1,95,1523,1469,5,0
5,0,5,1250,1002,4,0
6,1,33,1520,1423,10,0
7,0,9,1413,2108,5,1
8,1,66,1439,1392,6,1
9,1,119,1381,1209,4,0
10,0,39,1381,1272,1,0
11,0,38,1381,1867,9,1
12,0,60,1381,1936,3,1
13,0,31,1381,1607,2,1
14,0,31,1094,1141,8,0
15,0,43,1141,1094,7,1
16,0,52,1094,1141,8,1
17,0,66,1141,1094,8,1
18,0,101,1094,1300,5,1
19,0,25,1500,1094,2,0
20,0,14,1094,1676,6,1
21,0,3,1094,1068,2,0
22,0,17,1500,1094,3,0
23,1,36,1307,1106,4,0
24,1,13,1113,1423,3,1
25,1,69,1078,1219,4,0
26,1,43,1825,1079,8,0
27,1,54,1328,1038,4,1
28,1,53,1056,1156,4,1
29,1,66,1077,1148,4,1
30,1,64,1358,1036,3,1
31,1,64,1200,1002,6,1
32,1,54,1203,1019,3,0
33,0,21,1019,1500,6,1
34,0,11,1422,975,3,0
35,1,19,976,1832,4,1
36,1,28,1569,978,10,0
37,0,22,978,1500,2,1
38,0,37,1500,978,17,0
39,0,34,2449,978,3,0
40,0,32,1207,978,10,0
41,0,71,1241,978,3,1
42,0,30,1500,978,3,0
43,0,66,2443,978,17,0
44,0,41,1500,978,3,0
45,0,49,1500,978,3,0
46,0,3,978,1500,2,1
47,0,7,1343,978,3,0
48,0,35,2436,978,17,0
49,0,41,2436,978,4,0
50,0,5,978,1500,3,1
51,0,7,1500,978,4,0
52,0,53,978,1500,2,0
53,0,36,1500,978,2,1
54,1,8,1521,1162,2,0
55,1,3,1407,1500,3,0
56,1,28,1492,1458,5,0
57,1,30,1414,1442,8,1
58,1,44,1457,1294,5,1
59,1,29,1525,1466,6,0
60,1,37,1207,1579,3,1
61,1,49,1567,1573,2,0
62,1,32,1578,1605,2,1
63,1,25,1939,1581,6,0
64,1,40,1618,1568,2,1
65,1,39,1755,1574,2,0
66,1,57,1561,1596,2,0
67,1,78,1500,1554,3,1
68,1,61,1544,1461,3,0
69,1,44,1563,1335,3,1
70,1,62,1579,1470,2,1
71,1,87,1617,1590,2,0
72,1,54,1207,1588,7,1
73,1,54,1595,1547,3,1
74,1,37,1855,1599,5,0
75,1,50,1589,1547,2,0
76,1,131,1571,1728,5,0
77,1,48,1720,1579,3,0
78,1,47,1579,2105,5,1
79,1,64,1768,1560,3,1
80,1,61,1552,1436,3,0
81,1,57,1536,1667,5,0
82,1,51,1521,1549,2,0
83,1,58,1251,1545,3,1
84,1,71,1537,1408,3,0
85,1,114,1522,1512,1,0
86,1,39,1602,1532,11,0
87,1,20,1543,1593,5,1
88,1,48,1556,1539,3,1
89,1,34,1409,1548,3,1
90,1,51,1539,1418,5,0
91,1,69,1603,1550,3,0
92,1,28,1542,1399,4,0
93,1,62,1546,1877,5,1
94,1,62,1134,1535,4,1
95,1,85,1513,1784,2,0
96,1,38,1501,1445,5,0
97,0,14,1500,1500,8,0
98,1,113,1745,1714,4,0
99,1,62,1734,1748,4,0
100,1,101,1942,1739,6,0
101,1,75,1724,1855,7,0
102,1,135,1951,1729,11,0
103,1,81,1726,1388,5,0
104,1,46,1735,1806,6,1
105,1,70,1597,1728,3,1
106,1,39,1743,1738,10,0
107,1,91,1721,1750,7,0
108,1,137,1746,1487,5,0
109,1,46,1744,1735,9,1
110,1,18,1749,1631,9,1
111,1,28,1769,1396,5,1
112,1,40,1795,1760,5,1
113,1,111,1729,1795,5,0
114,1,54,1795,1784,6,1
115,1,33,1770,1872,3,0
116,1,90,1783,1721,5,1
117,1,90,1884,1768,7,1
